"";"maille_code";"Pop"
"1";"01";656955
"2";"02";526050
"3";"03";331315
"4";"04";165197
"5";"05";141756
"6";"06";1079396
"7";"07";326875
"8";"08";265531
"9";"09";152398
"10";"10";309907
"11";"11";372705
"12";"12";278360
"13";"13";2034469
"14";"14";691453
"15";"15";142811
"16";"16";348180
"17";"17";647080
"18";"18";296404
"19";"19";240336
"20";"2A";162421
"21";"2B";182258
"22";"21";532886
"23";"22";596186
"24";"23";116270
"25";"24";408393
"26";"25";539449
"27";"26";520560
"28";"27";600687
"29";"28";429425
"30";"29";906554
"31";"30";748468
"32";"31";1400935
"33";"32";190040
"34";"33";1633440
"35";"34";1176145
"36";"35";1082073
"37";"36";217139
"38";"37";605380
"39";"38";1264979
"40";"39";257849
"41";"40";411979
"42";"41";327835
"43";"42";764737
"44";"43";226901
"45";"44";1437137
"46";"45";682890
"47";"46";173166
"48";"47";330336
"49";"48";76286
"50";"49";815881
"51";"50";490669
"52";"51";563823
"53";"52";169250
"54";"53";305365
"55";"54";730398
"56";"55";181641
"57";"56";755566
"58";"57";1035866
"59";"58";199596
"60";"59";2588988
"61";"60";825077
"62";"61";276903
"63";"62";1452778
"64";"63";660240
"65";"64";683169
"66";"65";226839
"67";"66";479000
"68";"67";1132607
"69";"68";763204
"70";"69";1876051
"71";"70";233194
"72";"71";547824
"73";"72";560227
"74";"73";432548
"75";"74";828405
"76";"75";2148271
"77";"76";1243788
"78";"77";1423607
"79";"78";1448625
"80";"79";372627
"81";"80";569769
"82";"81";387898
"83";"82";262618
"84";"83";1073836
"85";"84";560997
"86";"85";683187
"87";"86";437398
"88";"87";370774
"89";"88";359520
"90";"89";332096
"91";"90";140145
"92";"91";1319401
"93";"92";1613762
"94";"93";1670149
"95";"94";1406041
"96";"95";1248354
"97";"971";376879
"98";"972";358749
"99";"973";290691
"100";"974";859959
"101";"976";279471
